qc_id,name,country,capital,icon_url
"0",Murmansk,Russia,N,./0.png
"1",Saint Petersburg,Russia,N,./0.png
"2",Vilnius,Lithuania,Y,./0.png
"3",Gdansk,Poland,N,./0.png
"4",Minsk,Byelarus,Y,./0.png
"5",Warsaw,Poland,Y,./0.png
"6",Lodz,Poland,N,./0.png
"7",Wroclaw,Poland,N,./0.png
"8",Kiev,Ukraine,Y,./0.png
"9",Krakow,Poland,N,./0.png
"10",Lvov,Ukraine,N,./0.png
"11",Odessa,Ukraine,N,./0.png
"12",Helsinki,Finland,Y,./0.png
"13",Narvik,Norway,N,./0.png
"14",Tallinn,Estonia,Y,./0.png
"15",Hammerfest,Norway,N,./0.png
"16",Bergen,Norway,N,./0.png
"17",Oslo,Norway,Y,./0.png
"18",Riga,Latvia,Y,./0.png
"19",Irkutsk,Russia,N,./0.png
"20",Ulaanbaatar,Mongolia,Y,./0.png
"21",Qiqihar,China,N,./0.png
"22",Harbin,China,N,./0.png
"23",Changchung,China,N,./0.png
"24",Jilin,China,N,./0.png
"25",Urumqi,China,N,./0.png
"26",Almaty,Kazakhstan,Y,./0.png
"27",Fushun,China,N,./0.png
"28",Shenyang,China,N,./0.png
"29",Anshan,China,N,./0.png
"30",Beijing,China,Y,./0.png
"31",Tangshan,China,N,./0.png
"32",Tianjin,China,N,./0.png
"33",Shijiazhuang,China,N,./0.png
"34",Taiyuan,China,N,./0.png
"35",Zibo,China,N,./0.png
"36",Jinan,China,N,./0.png
"37",Lanzhou,China,N,./0.png
"38",Zhengzhou,China,N,./0.png
"39",Luoyang,China,N,./0.png
"40",Xian,China,N,./0.png
"41",Nanjing,China,N,./0.png
"42",Shanghai,China,N,./0.png
"43",Chengdu,China,N,./0.png
"44",Wuhan,China,N,./0.png
"45",Hangzhou,China,N,./0.png
"46",Chongqing,China,N,./0.png
"47",Nanchang,China,N,./0.png
"48",Changsha,China,N,./0.png
"49",Guiyang,China,N,./0.png
"50",Fuzhou,China,N,./0.png
"51",Kunming,China,N,./0.png
"52",Guangzhou,China,N,./0.png
"53",Qingdao,China,N,./0.png
"54",Kashi,China,N,./0.png
"55",Chatanga,Russia,N,./0.png
"56",Chita,Russia,N,./0.png
"57",Dalian,China,N,./0.png
"58",Uliastay,Mongolia,N,./0.png
"59",Baotou,China,N,./0.png
"60",Kao-Hsiung,Taiwan,N,./0.png
"61",Vladivostok,Russia,N,./0.png
"62",Hong Kong,China,Y,./0.png
"63",Kowloon,China,N,./0.png
"64",Chelyabinsk,Russia,N,./0.png
"65",Omsk,Russia,N,./0.png
"66",Novosibirsk,Russia,N,./0.png
"67",Ufa,Russia,N,./0.png
"68",Samara,Russia,N,./0.png
"69",Karaganda,Kazakhstan,N,./0.png
"70",Novokuznetsk,Russia,N,./0.png
"71",Astrakhan,Russia,N,./0.png
"72",Arkhangelsk,Russia,N,./0.png
"73",Magadan,Russia,N,./0.png
"74",Perm',Russia,N,./0.png
"75",Yekaterinburg,Russia,N,./0.png
"76",Nizhniy Novgorod,Russia,N,./0.png
"77",Kazan',Russia,N,./0.png
"78",Volgograd,Russia,N,./0.png
"79",Donets'k,Ukraine,N,./0.png
"80",Rostov-na-Donu,Russia,N,./0.png
"81",T'Bilisi,Georgia,Y,./0.png
"82",Yakutsk,Russia,N,./0.png
"83",Nikolayevsk,Russia,N,./0.png
"84",Yuzhno-Sakhalinsk,Russia,N,./0.png
"85",Kharkov,Ukraine,N,./0.png
"86",Dnepropetrovsk,Ukraine,N,./0.png
"87",Igarka,Russia,N,./0.png
"88",Kotlas,Russia,N,./0.png
"89",Noril`sk,Russia,N,./0.png
"90",Petropavloski-Kamchatskiy,Russia,N,./0.png
"91",Salekhard,Russia,N,./0.png
"92",Vorkuta,Russia,N,./0.png
"93",Khabarovsk,Russia,N,./0.png
"94",Moscow,Russia,Y,./0.png
"95",Baku,Azerbaijan,Y,./0.png
